α	Alpha	alpha, the first letter of the Greek alphabet.
αἴτιος	causer	(αἰτία), causative of, responsible for; as subst., ὁ αἰ., the cause, author : Heb.5:9; τὸ αἰ., the cause, Act.19:40. blameworthy, culpable; as subst., ὁ αἰ., the culprit, the accused (Lat. reus); τὸ
αἰφνίδιος	sudden	(αἴφνης = ἄφνως, suddenly ), sudden, unexpected : Luk.21:34, 1Th.5:3.† (AS)
αἰχμαλωσία	captivity	(αἰχμάλωτος), captivity (Diod., al.): Rev.13:10; pl., abstr. for concr., = αἰχμάλωτοι, Eph.4:8 (LXX).† (AS)
αἰχμαλωτεύω	to take captive	(αἰχμάλωτος), = αἰχμαλωτίζω, which see, to lead captive : Eph.4:8 (LXX).† (AS)
αἰχμαλωτίζω	to capture	(αἰχμάλωτος), in late writers = cl. αἰχμάλωτον ποιῶ (ἄγω), to take or lead captive : before εἰς, Luk.21:24 (cf.
αἰχμάλωτος	captive	(αἰχμή, a spear, ἁλίσκομαι, to be taken ), captive : Luk.4:18 (LXX).† (AS)
αἰών	an age: age	in cl., like Lat. aevum (LS, MM, VGT, see word), a space of time, as, a lifetime, generation, period of history, an indefinitely long period; in NT of an indefinitely long period, an age, eternity,
αἰώνιος	eternal	(αἰών), age-long, eternal, of that which is without either beginning or end : Rom.16:26, Heb.9:14; of that which is without beginning : Rom.16:25, 2Ti.1:9, Tit.1:2; __(with) of that which is without
ἀκαθαρσία	impurity	(ἀκάθαρτος), uncleanness, impurity, physical (MM, VGT, see word): Mat.23:27; moral : Rom.1:24 6:19, 2Co.12:21, Gal.5:19, Eph.4:19 5:3, Col.3:5, 1Th.2:3 4:7. † (AS)
ἀκαθάρτης	uncleanness	uncleanness : Rev.17:4, Rec. (for τ. ἀκάθαρτα).† (AS)
ἀκάθαρτος	unclean	(ἀ- neg., καθαίρω), unclean, impure; physically (LS, MM, VGT, see word); ceremonially : Act.10:14,28 11:8, 1Co.7:14, 2Co.6:17, Rev.18:2; __(with) morally : Eph.5:5, Rev.17:4; with πνεῦμα, as always
ἀκαιρέω	to lack opportunity	(ἄκαιρος, unseasonable ), to have no opportunity (opposite to εὐκαιρέω): Php.4:10. † (AS)
ἀκαίρως	unseasonably	(ἄκαιρος, unseasonable ), out of season, unseasonably : opposite to εὐκαίρως (which see), 2Ti.4:2 (cf.
ἄκακος	innocent	as in cl. (Æsch., Plat., al.), of persons, simple, guileless : Rom.16:18, Heb.7:26 (cf.
