α	Alpha	alpha, the first letter of the Greek alphabet.
ἄκανθα	a thorn	(ἀκή, a point ), a prickly plant, thorn, brier; in NT always pl.: Mat.7:16 13:7,22 27:29, Mrk.4:7,18, Luk.6:44 8:7,14, Jhn.19:2, Heb.6:8 (see MM, VGT, see word).† (AS)
ἀκάνθινος	thorny	(ἄκανθα), of thorns : Mrk.15:17, Jhn.19:5. of acantha-wood (Hdt.; π. ap.
ἄκαρπος	unfruitful	unfruitful, barren : figuratively, Mat.13:22, Mrk.4:19, 1Co.14:14, Eph.5:11, Tit.3:14, 2Pe.1:8, Ju 12.† (AS)
ἀκατάγνωστος	beyond reproach	(καταγινώσκω), not open to just rebuke, irreprehensible : Tit.2:8 (see Cremer, 676; and for other exx., MM, VGT, see word).† (AS)
ἀκατακάλυπτος	uncovered	(κατακαλύπτω), uncovered, unveiled : 1Co.11:5, 13.† (AS)
ἀκατάκριτος	uncondemned	(κατακρίνω), uncondemned (EV): Act.16:37, 22:25. = cl. ἄκριτος, without trial, not yet tried (MM, VGT, see word) Ac, ll. cc. † (AS)
ἀκατάλυτος	indestructible	(καταλύω), indissoluble : Heb.7:16. † (AS)
ἀκατάπαυστος	unceasing	(καταπαύω), that cannot cease, not to be restrained : with genitive of thing(s), 2Pe.2:14, T, Tr. txt.† (AS)
ἀκαταστασία	disorder	instability (MM, VGT, see word); hence, confusion, tumult : 1Co.14:33, Jas.3:16; pl. (Bl., §32, 6), Luk.21:9, 2Co.6:5, 12:20 (Polyb., al.; see Cremer, 739).† (AS)
ἀκατάστατος	restless	unsettled, unstable : Jas.1:8, 3:8.† (AS)
ἀκατάσχετος	uncontrollable	(κατέχω), that cannot be restrained : Jas.3:8 Rec. (for -στατος, which see).† (AS)
Ἀκελδαμά	Akeldama	§ Akeldama dama (Proper name) (traditionally located south of the valley of Hinnom), "field of blood"
ἀκέραιος	innocent	(κεράννυμι), unmixed, pure, hence, metaphorically (cf.
ἀκλινής	unwavering	unbending, firm : metaphorically (MM, VGT, see word). Heb.10:23. † (AS)
ἀκμάζω	to ripen	(ἀκμήν), to be at the prime; of produce of the ground, to be ripe (Thuc.): Rev.14:18 (MM, VGT, see word).† (AS)
ἀκμήν	still	a point, used as adv., at the present point of time, even now, even yet : Mat.15:16. † (AS)
ἀκοή	hearing	(ἀκούω), hearing, the sense of hearing : 1Co.12:17, 2Pe.2:8; "Hebraic dative," ἀκοῇ ακούειν (frequently in LXX; V. M, Pr., 14, 75), Mat.13:14, Act.28:26. organ of hearing, the ear (Arist., al.; MM,
ἀκολουθέω	to follow	(ἀκόλουθος, following; ἀ- cop., κέλευθος, poët., away ), to accompany, follow : Mat.4:25, al.
ἀκούω	to hear	to hear, listen, attend, perceive by hearing, comprehend by hearing.
ἀκρασία	self-indulgence	(ἀκρατής, which see), in Arist. and later writers = ἀκράτεια (Lft., Notes, 222 f.), want of power, hence want of self-control, incontinence : Mat.23:25, 1Co.7:5.† (AS)
ἀκρατής	intemperate	(κράτος), powerless, impotent; in moral sense, lacking self-control, incontinent : 2Ti.3:3. † (AS)
ἄκρατος	undiluted	(κεράννυμι), unmixed, pure : οἶνος, Rev.14:10. † (AS)
ἀκρίβεια	strictness	(ἀκριβής), exactness, precision (for exx., see MM, VGT, see word): Act.22:3. † (AS)
ἀκριβέστατος	strictest	exact, precise, careful, of things and persons: superl., Act.26:5. † (AS)
ἀκριβέστερον	stricter	adv. (ἀκριβής), with exactness, carefully : Mat.2:8, Luk.1:3, Act.18:25, Eph.5:15, 1Th.5:2 (M, Th., in l). Compar., ἀκριβέστερον (Milligan, NTD, 111; MM, VGT, see word), Act.18:26 23:15, 20 24:22.†
ἀκριβόω	be exactly	(ἀκριβής), to enquire with exactness, learn carefully : Mat.2:7, 16 (for similar ex., see MM, VGT, sv.).† (AS)
ἀκριβῶς	exactly	adv. (ἀκριβής), with exactness, carefully : Mat.2:8, Luk.1:3, Act.18:25, Eph.5:15, 1Th.5:2 (M, Th., in l). Compar., ἀκριβέστερον (Milligan, NTD, 111; MM, VGT, see word), Act.18:26 23:15, 20 24:22.†
ἀκρίς	locust	a locust : Mat.3:4, Mrk.1:6, Rev.9:3, 7.† (AS)
ἀκροατήριον	hall	(ἀκροάομαι, to listen ) a place of audience : Act.25:23 (Plut.).† (AS)
ἀκροατής	hearer	a hearer : Rom.2:13, Jas.1:22, 23, 25.† (AS)
ἀκροβυστία	uncircumcision	(perh. an Alexandrian form of cl. ἀκροποσθία; cf.
ἀκρογωνιαῖος	cornerstone	(ἄκροι, γωνία, an angle ) = Attic γωνιαῖος (frequently in Inscr.; MM, VGT, see word ἀ.), at the extreme angle : ὁ ἀ., the corner foundation stone, Eph.2:20, 1Pe.2:6.† (AS)
ἀκροθίνιον	fine spoils	(ἄκρος, θίς, a heap ), prop., the top of a heap, hence, in pl., first-fruits (Xen.; MM, VGT, see word). In war, the choicest spoils (cf.
ἄκρον	end	highest, extreme; as subst., τὸ ἄ., the top, extremity : Mrk.13:27, Luk.16:24, Heb.11:21; pl. (cf.
Ἀκύλας	Aquila	Aquila : Act.18:2, 18 18:26, Rom.16:3, 1Co.16:19, 2Ti.4:19.† (AS)
ἀκυρόω	to nullify	(κῦρος, authority ), to revoke, invalidate (MM, VGT, see word): Mat.15:6, Mrk.7:13, Gal.3:17 (Plut.).† (AS)
ἀκωλύτως	freely	adv. (κωλύω), without hindrance (so frequently in legal documents; MM, VGT, see word): Act.28:31. † (AS)
ἄκων	unwilling	(ἀ- neg., ἅκων, willing ), unwilling : 1Co.9:17. † (AS)
ἀλάβαστρον	jar	a box of alabaster (ἀλαβαστίτης) for ointment: Mat.26:7, Mrk.14:3, Luk.7:37 (see DCG, i, 41b; MM, VGT, see word).† (AS)
ἀλαζονεία	boasting	(ἀλαζών), the character of an ἀλαζών, boastfulness, vainglory, vaunting : Jas.4:16 (Mayor, in l), 1Jn.2:16. † (AS)
ἀλαζών	braggart	(ἄλη, wandering ) prop, a vagabond, hence, an impostor, a boaster : Rom.1:30, 2Ti.3:2.† SYN. : ὐβριστής, ὑπερήφανος (see Tr., Syn., § xxix; Lft., Notes, 256) (AS)
ἀλαλάζω	to wail	(onomat. from the battle-cry ἀλαλά), prop, to raise a war-cry, shout with triumph or joy; rarely of grief, to wail : Mrk.5:38 (cf.
ἀλάλητος	inexpressible	(λαλέω), inexpressible, not to be uttered : Rom.8:26. † (AS)
ἄλαλος	mute	(λάλος, talkative ), dumb, speechless : Mrk.7:37 9:17, 25.† (AS)
ἅλας	salt	salt, lit, and figuratively: Mat.5:13, Mrk.9:50 Luk.14:34; like cl. ἅλες, wit, of wisdom and grace in speech: Col.4:6. † (AS)
ἀλείφω	to anoint	(cf. λίπος, oil), to anoint, festally or in homage : with accusative of thing(s) or of person(s), Mat.6:17, Jhn.12:3, Mrk.16:1; before dative, ἐλαίῳ, Mrk.6:13, Jas.5:14; μύρῳ, Luk.7:38, 46,
ἀλεκτοροφωνία	crowing	(ἀλέκτωρ, φωνή), cock-crowing, i.e. the third watch in the night: Mrk.13:35. † (AS)
ἀλέκτωρ	rooster	(poët. form of ἀλεκτρυών; see MM, VGT, see word), a cock : Mat.26:34, Mrk.14:30, 68 14:72 Luk.22:34, 60-61, Jhn.13:38 18:27.† (AS)
Ἀλεξανδρεύς	Alexandrian	an Alexandrian : Act.6:9 18:24.† (AS)
Ἀλεξανδρῖνος	Alexandria	Alexan­drian : Act.27:6 28:11.† (AS)
Ἀλέξανδρος	Alexander	Alexander Son of Simon of Cyrene : Mrk.15:21 A kinsman of the High Priest : Act.4:6. A certain Jew : Act.19:33. A coppersmith : 1Ti.1:20. Perh. = 4 (see Ellic. on I Ti, l.with): 2Ti.4:14. † (AS)
ἄλευρον	flour	(ἀλεύω, to grind), real : Mat.13:33, Luk.13:21.† (AS)
ἀλήθεια	truth	(ἀληθής), truth (see DB, iv, 818f.). Objectively, "the reality lying at the basis of an appearance; the manifested, veritable essence of a matter" (Cremer, 86): Rom.9:1, al.; of religious truth,
ἀληθεύω	be truthful	(ἀληθής), to speak the truth (R, mg., deal truly; Field, Notes, 192): Gal.4:16, Eph.4:15.† (AS)
ἀληθής	true	(λήθω = λανθάνω, hence primarily, unconcealed, manifest; hence, actual, real), of things, true, conforming to reality : Jhn.4:18 5:31-32 6:55 (= ἀληθινός, which see) Jhn.8:13-14, 17 10:41 19:35
ἀληθινός	true	(ἀληθής), true, in the sense of real, ideal, genuine : Luk.16:11 Jhn.1:9 4:23, 37 6:32 7:28 8:16 15:1 17:3 19:35, 1Th.1:9, Heb.8:2 9:24 10:22, 1Jn.2:8 Jn 5:20, Rev.3:7, 14 6:10 15:3 16:7 19:2; =
ἀλήθω	to grind	(κοινή form of the Attic ἀλέω), to grind : Mat.24:41, Luk.17:35.† (AS)
ἀληθῶς	truly	adv. (ἀληθής). truly, surely : Mat.14:33 26:73 Mrk.14:70 15:39, Luk.9:27 12:44 21:3, Jhn.1:48 4:42 6:14 7:26, 40 8:31 17:8 Act.12:11, 1Th.2:13, 1Jn.2:5.† (AS)
ἁλιεύς	fisherman	(ἅλς, the sea ) a fisherman : Mat.4:18, 19, Mrk.1:16, 17, Luk.5:2 (AS)
ἁλιεύω	to fish	(ἁλιεύς), to fish : Jhn.21:3 (MM, VGT, see word).† (AS)
ἁλίζω	to salt	(ἅλς), to salt, season with salt : Mat.5:13, Mrk.9:49.† (AS)
ἀλίσγημα	defilement	(late ἀλισγέω, to pollute) pollution : Act.15:20. † (AS)
ἀλλά	but	adversative particle, stronger than δέ; prop. neuter pl. of ἄλλος, used adverbially, with changed accent; hence prop. otherwise, on the other hand (cf.
ἀλλάσσω	to change	(ἄλλος), to change : Act.6:14, Gal.4:20. to transform : 1Co.15:51-52, Heb.1:12. to exchange : with accusative, before ἐν (= בְּ, Psa.106:20 ) instead of simple genitive (Bl., § 36, 8), Rom.1:23 (cf.
ἀλλαχόθεν	from elsewhere	adv. (ἀλλος), = ἀλλοθεν (seeMM, VGT, see word) from another place : Jhn.10:1. † (AS)
ἀλληγορέω	to use an analogy	(ἄλλος, ἀγορεύω) to speak allegorically (Cremer, 96 ff.): Gal.4:24. † (AS)
ἀλληλουϊα	hallelujah	(Rec. ἀλληλούϊα; Heb. הָלַל יָהּ, praise the Lord), hallelujah, alleluia : Rev.19:1, 3-4 19:6.† (AS)
ἀλλήλων	one another	(ἄλλος), of one another, mutually : Mat.25:32, Mrk.4:41, Jhn.13:22, al. (AS)
ἀλλογενής	foreign	(ἄλλος, γένος), of another race, a foreigner ( = ἀλλόφυλος; Cremer, 150; MM, VGT, see word): Luk.17:18. † (AS)
ἅλλομαι	to spring	to leap : Act.3:8 14:10; of water, to spring up, Jhn.4:14 (MM, VGT, see word).† (AS)
ἄλλος	another	other, another : absol., Mat.20:3, al.; ἄ. δέ, 1Co.3:10 12:8; pl., Mrk.6:15; attached to a noun, Mat.2:12 4:21, al.; with art., ὁ ἄ., the other, Mat.5:39, Jhn.19:32 (Bl., §47, 8); οἱ ἄ., the others,
ἀλλοτριεπίσκοπος	meddler	one who meddles in things alien to his calling : 1Pe.4:15 (see ICC, in l; Deiss., BS, 224-4; MM, VGT, see word).† (AS)
ἀλλότριος	another’s	(ἄλλος), be-longing to another, not one's own (opposite to ἴδιος): Luk.16:12, Rom.14:4 15:20 (Field, Notes, 165 f.), 2Co.10:15-16, 1Ti.5:22, Heb.9:25. foreign, strange, alien (opposite to οἰκεῖος;
ἀλλόφυλος	foreign	(ἄλλος, φῦλον, a tribe), foreign, of another race (MM, VGT, see word); as opposite to a Jew, a Gentile : Act.10:28. † (AS)
ἄλλως	otherwise	adv. (ἄλλος), otherwise : 1Ti.5:25. † (AS)
ἀλοάω	to thresh	(ἅλως, see: ἅλων; and cf.
ἄλογος	unreasonable	without reason, irrational : ζῷα, 2Pe.2:12, Ju 10. contrary to reason : Act.25:27 (see MM, VGT, see word).† (AS)
ἀλόη	aloes	the aloe, aloes (the powder of a fragrant wood): Jhn.19:39. † (AS)
ἅλς	salt	variant for ἅλας (which see): Mrk.9:49, Rec.
ἁλυκός	salty	(ἅλς), salt : Jas.3:12. † (AS)
ἄλυπος	without anxiety	(λύπη), free from grief : Php.2:28. † (AS)
ἅλυσις	chain	a chain, bond : Mrk.5:3-4, Luk.8:29, Act.12:6-7 21:33 28:20, Eph.6:20, 2Ti.1:16, Rev.20:1.† (AS)
ἀλυσιτελής	unprofitable	(cf. λυσιτελέω), unprofitable : Heb.13:17. † (AS)
Ἀλφαῖος	Alphaeus	Alphæus. Father of Levi : Mrk.2:14. Father of James : Mat.10:3, Mrk.3:13, Luk.6:15, Act.1:13.† (AS)
ἅλων	threshing-floor	(for Attic ἅλως, -ω, see MM, VGT, see word), ἡ, a threshing floor : Mat.3:12, Luk.3:17 (here prob. by meton. = the grain on the threshing floor).† (AS)
ἀλώπηξ	fox	a fox : Mat.8:20, Luk.9:58; metaphorically, of Herod, Luk.13:32. † (AS)
ἅλωσις	capture	(ἁλίσκομαι), a taking, capture : 2Pe.2:12. † (AS)
ἅμα	together	adv., at once (Lat. simul): Act.24:26 27:40, Rom.3:12 (one and all = יַחַד, Psa.14:3 ), Col.4:3, 1Ti.5:13, Phm 22; before σύν, 1Th.4:17 5:10; as prep. with dative, together with : Mat.13:29 (see MM,
ἀμαθής	ignorant	(μανθάνω), unlearned, ignorant : 2Pe.3:16 (on the rareness of this word, see MM, VGT, see word).† (AS)
ἀμαράντινος	unfading	(ἀμάραντος), of amaranth (Inscr.); hence un­fading : 1Pe.5:4. † (AS)
ἀμάραντος	unfading	(μαραίνομαι), un­fading (whence ὁ ἀ., the amaranth, an unfading flower): 1Pe.1:4 (cf.
ἁμαρτάνω	to sin	(present formed from aor. ἁμαρτεῖν), to miss the mark (Hom., Æsch., al.), hence metaphorically (Hom., al.), to err, do wrong In LXX and NT, to violate God's law, to sin (for non-Christian exx., see
ἁμάρτημα	sin	(ἁμαρτεῖν, see supr.), an act of disobedience to divine law (Lft., Notes, 273), a sinful deed, a sin : Mrk.3:28-29, Rom.3:25, 1Co.6:18, 2Pe.1:9, WH, mg.; αἰώνιωv ἀ. ( DCG, i, 788a), Mrk.3:29 (for
ἁμαρτία	sin	(ἁμαρτάνω, which see), prop. a missing the mark; in cl. (see reff. to CR in MM, VGT, see word); guilt, sin (Plat., Arist., al.); more freq., from Æsch. down, a fault, failure.
ἀμάρτυρος	without witness	(μάρτυς), without witness : Act.14:17. † (AS)
ἁμαρτωλός	sinful	(ἁμαρτάνω), sinful, a sinner : of all men, 1Ti.1:15; of those especially wicked, 1Ti.1:9, 1Pe.4:18; p1., Mat.9:10-13 11:19 26:45, al. (see MM, VGT, see word; Cremer, 102, 634) (AS)
ἄμαχος	peacable	(μάχη); invincible (frequently in cl.). abstaining from fighting, non-combatant (Xen.). Metaphorical (cf.
ἀμάω	to mow	(in cl. chiefly poët.), to reap : Jas.5:4. † (AS)
ἀμέθυστος	amethyst	(accusative to Plut., ἀ- μεθύω, being regarded as an antidote against drunkenness) amethyst, a purple quartz : Rev.21:20. † (AS)
ἀμελέω	to neglect	(μέλει), absol., to be careless, not to care : Mat.22:5; with genitive, to be careless of, to neglect : 1Ti.4:14, Heb.2:3 8:9 (see MM, VGT, see word).† (AS)
ἄμεμπτος	blameless	(μέμφομσι), blameless, free from fault (in π. of a marriage-contract; M, Th., I, 3:13; cf.
ἀμέμπτως	blamelessly	adv. (ἄμεμπτος), blamelessly (Lft., Notes, 28, 89; MM, VGT, see word -ος): 1Th.2:10 3:13 WH mg., 5:23.† (AS)
ἀμέριμνος	untroubled	(μέριμνα), free from anxiety or care : Mat.28:14, 1Co.7:32 (for exx., see MM, VGT, see word).† (AS)
ἀμετάθετος	unchangeable	(μετατίθημι), immutable : Heb.6:18; as subat., τὸ ἀ., immutability, Heb.6:17 (see MM, VGT, see word).† (AS)
ἀμετακίνητος	immovable	(μετακινέω), immovable, firm : 1Co.15:58. † (AS)
ἀμεταμέλητος	irrevocable	(μεταμέλομαι), not repented of, unregretted : Rom.11:29, 2Co.7:10.† (AS)
ἀμετανόητος	unrepentant	(μετανοέω) impenitent : Rom.2:5 = ἀμεταμέλητος (π., Philo, al.; see Deiss., BS, 257; MM, VGT, see word).† (AS)
ἄμετρος	immoderate	(μέτρον), without measure : adverbially, εἰς τὰ ἄ., excessively, 2Co.10:13 10:15 † (AS)
ἀμήν	amen	As adj. (cf.
ἀμήτωρ	motherless	(μήτηρ), without a mother (frequently in Gk. writers of the gods): ἀπάτωρ ἀ. of one without recorded genealogy, Heb.7:3 (cf.
ἀμίαντος	pure	(μιαίνω), undefiled, free from contamination (in π., of αἰθήρ; MM, VGT, see word): Heb.7:26 13:4, 1Pe.1:4, Jas.1:27.† SYN. : ἄμωμος, ἄσπιλος (Cremer, 784) (AS)
Ἀμιναδάβ	Amminadab	Amminadab : Mat.1:4, Luk.3:33 (WH om.).† (AS)
ἄμμος	sand	sand, sandy ground : Mat.7:26, Rom.9:27, Heb.11:12, Rev.18:1, Rev.20:8.† (AS)
ἀμνός	lamb	a lamb : figuratively, of Christ ( DCG, ii, 620b), Jhn.1:29, 36, Act.8:32 " (LXX), 1Pe.1:19 (cf. ἀρνίον; Cremer, 102, 635).† (AS)
ἀμοιβή	repayment	(ἀμείβομαι, to repay); requital, recompense : 1Ti.5:4 (for illustration from τ.. see MM, VGT, see word).† (AS)
ἄμπελος	vine	vine : Mat.26:29, Mrk.14:25, Luk.22:18 Jas.3:12; figuratively, of Christ, Jhn.15:1, 4-5; of his enemies (on the usage here, see MM, VGT, see word): Rev.14:18-19. † (AS)
ἀμπελουργός	a vine-worker	a vine dresser : Luk.13:7. † (AS)
ἀμπελών	vineyard	(ἄμπελος), a vineyard : Mat.20:1 ff.
Ἀμπλίας	Ampliatus	Ampliatus : Rom.1:6 8:8.† (AS)
ἀμύνω	to defend	to ward off, etc.
ἀμφίβληστρον	net	(ἀμφιβάλλω), something thrown around, as a garment; spec., a casting-net : Mat.4:18. † (AS)
ἀμφιέννυμι	to clothe	(ἕννυμι, to clothe), to clothe : Mat.6:30 11:8, Luk.7:25 (cf. ἀμφιάζω).† (AS)
Ἀμφίπολις	Amphipolis	Amphipolis, in Macedonia, so called because the river Strymon flowed around it : Act.17:1. † (AS)
ἄμφοδον	street	(ἀμφί ὁδός), prop., a road around anything (RV, the open street): Mrk.11:4, Act.19:28, WH, mg.† (AS)
ἀμφότερος	both	(replaces ἄμφω in κοινή, V. M, Pr., 57; used of more than two, Pr., 80; MM, VGT, see word), both of two: Mat.9:17, al. (AS)
ἀμώμητος	blameless	(μωμάομαι), blameless : 2Pe.3:14. † SYN. : ἄμεμπτος (which see), ἀνέγκλητος, ἀνεπίλημπτος (AS)
ἄμωμος	blameless	(μῶμος, which see),; of sacrificial victims, without blemish : of Christ, Heb.9:14, 1Pe.1:19; etbically, unblemished, faultless : Eph.1:4 5:27, Php.2:15, Col.1:22, Ju 24, Rev.14:5 (Cremer, 425, 788;
Ἀμών	Amos	Amon, King of Judah : Mat.1:10 (Rec.).† (AS)
Ἀμώς	Amos	as in 2Ki, Lc.
ἄν	if	conditional particle, which cannot usually be separately translated in English, its force depending on the constructions which contain it (see further, LS, see word; WM, §xlii; M, Pr., 165 ff.; MM,
ἀνά	each	prep. (the rarest in NT; M, Pr., 98; MM, VGT, see word), prop., upwards, up, always with accusative In phrases : ἀ. μέσον, among, between, with genitive, Mat.13:1-58 25:1-46, Mrk.7:31, 1Co.6:5 (M,
ἀναβαθμός	stairs	(ἀναβαίνω), a going up, an ascent (Pss, ll. with ?). a step (LXX); p1., a flight of stairs: Act.21:35, 40. (On the formation -θμός, see MM, VGT, see word)† (AS)
